gene	cogs
b3193	Q
b4340	K
b1659	K
b4341	S
b3555	K
b0257	
b3532	M
b3533	M
b3530	S
b3531	G
b3536	S
b3537	M
b4226	C
b3538	S
b3539	E
b0764	P
b3448	S
b0765	P
b2669	L
b2668	P
b2919	I
b2918	E
b2917	I
b2664	K
b2667	K
b3553	C
b2661	C
b2912	H
b2663	E
b3445	
b3657	G
b3585	K
b4475	A
b4221	S
b3656	G
b4220	M
b3655	S
b2261	H
b2260	I,Q
b2263	H
b2262	H
b2265	H
b2264	H
b2267	S
b2266	S
b2269	O
b2268	S
b1973	P
b1029	S
b2009	L
b3345	P
b2690	G
b2686	P
b2001	S
b2000	U,M
b2002	L
b2004	S
b2007	S
b3846	I
b3847	E
b3844	C
b3845	I
b3842	K
b3843	H
b2863	S
b2935	G
b2861	L
b2860	L
b2867	C
b2866	C
b2865	M
b2934	G
b3343	P
b3830	Q
b3994	H
b2830	J
b3996	L
b3997	H
b3990	H
b3991	H
b2469	T
b2468	E
b2467	S
b2466	S
b2465	G
b2464	G
b2463	C
b2462	E
b2461	E
b2460	E
b2715	G
b2714	K
b2717	O
b2716	G
b2711	C
b2710	C
b2713	C
b2712	O
b1163	T
b1162	K
b1161	S
b1160	T
b2719	C
b1166	S
b1165	S
b2835	G
b2485	C
b2484	C
b2487	C
b2486	P
b2481	C
b2480	O
b2483	C
b2482	P
b2688	H
b2489	C
b2488	
b1019	P
b1018	P
b1015	E
b1014	C
b1013	K
b1012	F
b1011	Q
b1010	F
b0713	E
b0768	K
b0769	S
b0766	S
b0767	G
b4225	T
b4224	K
b0763	P
b0760	P
b0761	K
b2933	G
b1866	J
b1414	S
b2998	S
b1640	O
b4182	K,T
b1908	S
b1641	M
b1106	H
b1901	G
b1900	P
b1902	P
b1905	P
b1904	S
b1907	E
b1863	L
b0508	G
b4088	G
b1589	C
b1644	V
b4083	Q
b1584	J
b4081	S
b4080	M
b4087	P
b4086	G
b0504	K
b4084	K,G
b1743	P,U,T,N
b1742	S
b1741	L
b1740	H
b1747	E
b1746	C
b1745	E
b1744	E
b0692	E
b0693	E
b1749	L
b1748	E
b0696	P
b0697	P
b0694	T
b0695	T
b1649	K
b0988	
b0989	K
b0986	M
b0984	S
b0985	S
b0982	T
b0983	M
b0980	S
b0981	M
b0168	J
b0169	J
b1345	L
b1344	D
b1343	L
b1960	L
b1341	T
b1340	S
b0160	F
b0161	O
b0162	K
b0163	S
b0164	S
b0166	E
b0167	O
b0340	P
b0437	O
b0342	E
b0435	K
b0344	G
b0433	G
b0430	C
b0431	C
b0348	Q
b0349	S
b4089	K
b0438	O
b0439	O
b0186	E
b4154	C
b0184	L
b0185	I
b4151	C
b4150	V
b4401	T
b4400	V
b0119	S
b4159	M
b4158	S
b4409	S
b4125	T
b4406	S
b1290	V
b4126	S
b3883	G
b3332	U
b1585	S
b2208	C
b4082	V
b3886	S
b1587	C
b3335	U,O,N
b1971	C
b1586	S
b3884	K
b0506	K
b3885	S
b0507	S
b2203	C
b0238	
b4085	G
b2202	C
b0234	K
b0235	
b0236	J
b0505	F
b0231	L
b0232	D
b0233	J,T
b4184	S
b0698	P
b0699	S
b2063	P
b4533	S
b4532	L
b2922	S
b1460	L
b4537	S
b4536	S
b4023	S
b3619	M
b3618	S,M
b0007	E
b1969	T
b3613	D
b3612	G
b3611	P
b3610	O
b3617	H
b3616	E
b3615	M
b3614	M
b0006	L
b1968	T
b3299	
b3298	J
b3297	
b3296	J
b3295	
b3294	J
b3293	S
b3013	S
b3291	M
b3290	P
b2629	S
b3059	S
b3058	H
b3509	S
b3508	S
b3507	
b3054	S
b3505	L
b3056	J
b3503	P
b3502	P
b3053	T,O
b3052	M
b2908	E
b0726	C
b0005	S
b3271	E
b3270	E
b2678	E
b2679	E
b2676	F
b2901	G
b2674	F
b2903	E
b2904	
b2905	E
b2670	U
b2907	H
b2845	E
b2847	K
b2272	S
b1347	L
b2270	O
b2271	S
b2276	C
b2277	C
b2274	S
b1346	S
b2278	C
b2279	
b2103	H
b0724	C
b1342	P
b2874	E
b2875	O
b2876	S
b2019	E
b2870	E
b2871	E
b2872	E
b2873	F
b2012	
b2013	O
b2010	M
b2011	L
b2016	M,G
b2879	F
b2014	E
b2015	K
b3873	S
b3872	K
b3871	T
b3870	E
b3877	G
b3876	G
b3875	M
b3874	G
b3879	G
b3878	G
b3961	K
b2989	O
b2478	E
b2479	K
b3475	H
b3474	T
b3473	G
b3472	S
b3471	S
b3470	P
b2470	V
b2471	P
b2472	E
b1348	A
b2474	S
b2475	S
b3479	P
b2477	M
b2706	K
b2707	K
b2704	G
b2705	S
b2702	G
b2703	G
b2700	H
b0341	G
b0434	M
b2708	M
b2709	K
b2496	L
b2497	F
b2494	O
b0343	G
b2492	P
b2493	P
b2490	O
b2491	K
b0432	C
b2498	F
b0345	K
b0346	K
b3888	S
b0347	Q
b1008	C
b1009	F
b4063	K
b1436	S
b1000	O
b1002	S
b1003	S
b1004	S
b1006	F
b1007	F
b4238	F
b4239	G
b0759	M
b0758	G
b2111	S
b0753	S
b4231	G
b4232	G
b4233	M
b0757	G
b0756	G
b0755	G
b0754	E
b1322	S
b4155	J
b1517	G
b2683	S,U
b4157	S
b1174	D
b1175	D
b1176	D
b1919	E
b1171	S
b1912	I
b4403	J
b1178	S
b1179	S
b1914	T
b4019	E
b4524	G
b4525	
b4526	S
b4153	C
b1598	O
b1599	P
b1596	G
b1956	T
b1594	K
b4152	C
b1592	P
b1593	H
b1590	S
b1591	S
b4014	C
b1758	I
b1759	L
b0020	K
b1754	S
b1755	S
b1756	S
b1757	P
b1750	C
b0023	J
b1752	S
b1753	S
b0022	
b4388	E
b1957	S
b4129	J
b4011	S
b1350	L
b1518	S
b1356	K
b1357	K
b1359	S
b0189	K
b0403	G
b0402	E
b0401	E
b0400	T
b0407	U
b0406	J
b0405	J
b0404	S
b0409	U
b0408	U
b4410	S
b4147	J
b4412	S
b4145	S
b4142	O
b4415	S
b4140	S
b4141	E
b4148	P
b4149	M
b4046	K
b3070	P
b0537	L
b4095	P
b0535	T
b4097	P
b4090	G
b0532	M
b4092	S
b4093	S
b4098	P
b4099	P
b3442	S
b3344	P
b3251	
b1739	K
b0248	S
b2389	P
b4045	S
b4195	G
b0241	M
b0240	K
b0243	E
b0242	E
b0245	S
b0247	L
b3708	E
b1045	S
b0948	L
b2382	K
b0930	J
b3704	J
b2380	T
b0818	P
b3258	H
b3440	E
b1816	P
b2386	G
b3700	L
b2384	E
b1951	K
b3441	K
b0788	S
b4196	G
b0731	G
b3446	S
b4041	I
b0730	K
b2689	S
b1818	G
b3447	E
b3288	J
b3289	J
b3487	U
b3280	S
b3281	E
b3282	J
b3283	L
b3284	S
b3287	J
b3518	P
b3519	G
b3349	O
b3049	G
b3510	O
b3511	S
b3044	L
b3045	L
b3514	V
b3043	S
b3516	K
b3517	E
b3266	V
b2398	K
b3264	K
b3265	V
b3262	L
b3263	S
b3260	J
b3261	
b2643	S
b2642	S
b2393	F
b2392	P
b2395	T
b2394	L
b2645	S
b2644	L
b0127	V
b1803	C
b2249	H
b2248	K
b2247	M
b2246	G
b2245	G
b2244	S
b2243	C
b2242	E
b2241	C
b2240	G
b3604	K
b3605	C
b3606	J
b3607	E
b3600	G
b3601	K
b3602	S
b3603	C
b1372	S
b1864	K
b3608	C
b3609	U
b0239	S
b2801	G
b2800	G
b2803	G
b2802	G
b2805	K
b2804	G
b2807	S
b1247	E
b2809	S
b2808	K
b1244	P
b4156	E
b4202	
b3868	T
b3869	T
b3865	S
b3866	S
b3867	H
b3860	O
b3861	
b3862	I
b3863	L
b0237	E
b0786	S
b1717	
b3460	E
b3461	K
b3462	D
b3463	D
b3464	U
b3465	L
b3466	S
b4208	E
b3468	S
b3469	P
b1491	M
b3674	K
b2733	L
b2732	S
b2731	K
b2730	O
b2737	S
b2736	I
b2735	K
b2734	T
b1497	S
b2739	G
b2738	G
b1496	S
b4566	S
b4567	S
b2027	M
b2026	E
b2025	E
b2024	E
b2023	E
b2022	E
b2021	E
b2020	E
b2029	G
b2028	M
b2139	M
b1619	S
b1618	K
b3407	K
b1615	U
b1614	S
b1617	G
b1616	G
b1611	C
b3952	C
b1613	G
b1612	C
b2672	S
b3953	G
b3954	K
b3403	C
b1927	G
b1926	K
b1925	N
b1924	N
b1923	N
b1922	K
b1921	K
b1920	E
b1299	K
b1298	J
b3401	O
b1929	O
b1928	S
b1101	G
b2423	P
b1103	G,F
b1102	P
b1105	M
b1104	S
b1107	G
b2422	P
b1109	C
b1108	S
b2421	E
b4551	S
b4550	S
b4553	S
b2420	S
b4555	S
b4554	S
b4557	S
b4558	M
b2426	S
b4397	S
b4396	K
b4395	G
b4394	S
b4393	K
b3408	P
b4391	S
b4390	K
b1723	G
b2424	P
b1725	G
b1724	S
b4399	T
b4398	T
b0900	K
b2959	S
b3795	E
b0740	U
b0741	M
b0742	S
b1945	N
b3792	M
b4183	S
b0418	I
b0419	C
b0414	H
b0415	H
b0416	K
b0417	H
b0410	V
b0411	M
b0412	S
b0413	K
b4173	S
b4172	T
b4171	J
b4170	L
b4177	F
b1430	P
b4175	O
b4174	O
b4179	K
b4178	K
b1439	K
b1438	K
b1963	S
b1729	S
b1962	S
b0520	S
b0521	E
b0522	F
b0523	F
b0524	S
b0525	O
b0526	J
b0527	S
b0528	S
b0529	H
b0868	M,G
b0794	V
b0719	G
b0718	M
b0865	S
b0258	L
b0259	L
b0716	S
b0252	S
b0253	S
b0250	S
b0251	
b0256	L
b0715	S
b0254	K
b0255	L
b0178	M
b0866	S
b0835	J
b1628	C
b1629	C
b0711	E
b3451	P
b0862	E
b0792	V
b1869	S
b1713	J
b0427	G
b0447	K
b3450	G
b0249	S
b1563	J,D
b0791	S
b4407	H
b1953	S
b2130	P
b1868	S
b3453	G
b0790	S
b3202	K
b0567	S
b1875	S
b3452	P
b2225	S
b0562	Q
b2224	I
b2226	S
b1764	E
b2221	I
b2220	T
b3079	S
b3078	E
b2551	E
b3073	E
b3072	T
b3071	K
b2550	K
b3077	G
b3076	G
b3075	K
b3074	J
b3253	C
b3252	T
b2388	G
b3250	M
b3709	E
b3256	I
b3255	I
b3705	U
b2383	G
b3259	J
b3706	S
b3701	L
b2387	G
b3703	
b3702	L
b4102	K
b1058	S
b1406	C
b0426	S
b2258	G
b2259	T
b3383	S
b3382	S
b3385	S
b3384	J
b3387	L
b3386	G
b3389	E
b3388	U
b2252	T
b2253	E
b2254	M
b2255	M
b2256	G
b2257	M
b3671	E
b3670	E
b3673	P
b3675	S
b1402	L
b3677	S
b3676	S
b3679	E
b3678	P
b4105	P
b2812	H
b2813	M
b2810	E
b2811	S
b2817	M
b2049	M
b2818	E
b2819	L
b1056	S
b3819	S
b3818	S
b3811	L
b3810	S
b3813	L
b3812	S
b3817	S
b3816	P
b1388	Q
b3499	S
b3498	E
b0969	P
b3495	
b3494	S
b3497	M
b3496	E
b3491	S
b2659	Q
b3493	P
b3492	S
b2831	L
b2728	O
b2729	O
b3591	E
b2724	C
b2725	K
b2726	O
b2727	K,O
b2720	C
b2721	C
b2722	C
b2723	C
b3925	G
b3924	C
b3927	G
b3926	C
b3921	S
b3920	S
b3923	
b3922	S
b4295	K
b3929	K
b3928	S
b2832	P
b4191	K
b4190	S
b0140	O
b2030	L
b2032	M
b2033	E
b2034	S
b2035	M
b2036	M
b2037	M
b2038	M
b2039	M
b2833	S
b0147	J
b4197	G
b1608	T
b1609	T
b1606	H
b1607	S
b1604	S
b1605	E
b1602	C
b1603	C
b1600	P
b1601	T
b2354	S
b2834	C
b1282	J
b1931	S
b1280	G
b0149	M
b1286	K
b1287	S
b1284	K
b1285	T
b1938	N
b1939	N
b1288	I
b1289	E
b1112	M
b3458	E
b1110	M
b1111	K
b1116	M
b1117	V
b1114	L
b1115	S
b1383	S
b1118	M
b1119	G
b1872	C
b0649	O
b0648	S
b4544	M
b0645	S
b0644	M
b0647	S
b0646	O
b0641	M
b0640	L
b0643	S
b0642	J
b4380	S
b4381	F
b1738	G
b4383	G
b4384	F
b4385	S
b4386	H
b4387	S
b1732	P
b1733	G
b1731	D
b1736	G
b1737	G
b1734	G
b1735	K
b0887	V
b0886	V
b0733	C
b0884	
b0735	S
b0882	O
b0881	O
b0880	K
b0739	M
b0738	
b0889	
b0888	O
b0469	F
b0468	S
b0399	T
b0398	L
b0393	L
b0460	S
b0463	V
b0390	S
b0465	M
b0396	G
b0467	L
b0394	G
b1426	S
b1427	J
b1424	P
b0913	S
b4168	S
b4169	M
b1421	P
b4166	C
b4167	G
b4160	I
b4161	G
b4162	A
b1429	P
b4036	G
b4037	G
b4034	G
b4035	G
b0089	D
b0088	M
b0087	M
b4032	P
b0085	M
b0084	M
b0083	D
b0082	M
b0081	S
b0080	K
b0267	L
b0265	
b0264	L
b0263	
b0262	E
b0261	E
b0260	E
b4031	G
b1876	J
b0269	E
b0268	E
b0065	I
b0064	K
b0067	P
b0066	H
b0061	G
b0060	L
b0063	C
b0062	G
b0069	K
b0068	H
b2128	P
b1522	T
b2129	E
b3055	T
b3506	M
b3057	V
b0423	H
b3231	
b3051	S
b1520	S
b3050	S
b3501	K
b3500	C
b3230	
b2909	S
b1375	K
b3233	S
b3064	O
b3065	
b3066	L
b3067	K
b3060	K
b3061	C
b3062	C
b0914	V
b3219	S
b3068	L
b0917	S
b2900	S
b0916	S
b2677	E
b0911	J
b1727	S
b3232	S
b2902	S
b0442	L
b1930	
b2675	F
b3248	D
b3249	M
b3718	G
b3719	P
b3716	S
b3717	S
b3714	S
b0912	L
b3240	D
b3713	S
b3710	V
b3243	K
b2122	S
b1281	F
b2906	H,C
b2671	S
b1935	
b3392	S
b3393	S
b3390	E
b3391	U
b3396	M
b3397	F
b3394	U,N
b3395	S
b2946	S
b3398	S
b1937	N
b3662	G
b3663	S
b3660	E,G
b3661	P
b3666	G
b3667	G
b3664	S
b3665	F
b3292	K
b3668	T
b3669	T
b1932	K
b2283	C
b2282	C
b2281	
b2280	C
b2539	Q
b2538	Q
b2285	C
b2828	M
b2535	K
b2826	U,N
b2537	K
b2536	G
b2531	K
b2530	E
b2821	O
b2820	L
b3809	E
b3802	H
b3803	H
b3800	S
b3801	P
b3806	F
b3807	P
b3804	H
b3805	H
b1113	S
b2121	S
b2620	O
b2623	S
b2622	L
b2625	S
b2624	K
b2627	L
b2626	S
b3486	V
b2628	S
b3484	L
b3485	V
b3482	M
b3480	P
b3481	K
b2759	L
b2758	L
b2273	S
b2751	P
b2750	P
b2753	N
b2752	P
b2755	L
b2754	L
b2757	L
b2756	L
b3936	J
b3937	S
b3934	K
b3935	L
b3932	O
b3933	D
b3930	H
b3931	O
b3938	
b3939	E
b1365	K
b0172	J
b2275	S
b1862	S
b1440	G
b1639	S
b1638	H
b4505	
b1302	E
b1633	L
b1632	C
b1631	C
b1630	C
b1637	J
b1636	H
b1635	O
b1634	E
b1751	S
b4546	S
b4547	S
b3752	G
b3753	K
b1304	K,T
b2824	S
b3750	G
b2378	M
b1129	T
b1128	S
b1127	E
b1126	E
b1125	P
b1124	P
b1123	E
b1120	K
b1255	S
b1254	D
b1257	S
b1704	E
b1703	S
b1250	P
b1701	I,Q
b1252	M
b0656	L
b0657	M
b0654	E
b0655	P
b0652	E
b0653	E
b1709	H
b1708	M
b2373	E
b4379	O
b4378	L
b2372	P
b4375	J
b4374	S
b4377	I
b4376	S
b4371	J
b4373	S
b4372	L
b2822	L
b4382	F
b0772	G
b0890	D
b0891	M
b0720	C
b0721	C
b0894	C
b0895	C
b0896	S
b0897	Q
b0898	G
b0899	E
b0509	I
b1380	C
b1387	Q
b1386	Q
b1385	C
b1384	K
b0478	P
b0479	G
b0472	L
b0473	O
b0470	L
b0471	
b0476	I
b0477	F
b0474	F
b0475	H
b1413	L
b1412	I
b1411	T
b2877	O
b1415	C
b4389	O
b4111	G
b2409	K
b4113	T
b1418	C
b4115	E
b4114	S
b4117	E
b4116	K
b4289	P
b4288	P
b4280	S
b2154	S
b4284	L
b4287	P
b0098	U
b0099	L
b4068	S
b0090	M
b0091	M
b0092	M
b0093	M
b0094	D
b0095	D
b0096	M
b0097	K
b0270	G
b0271	G
b0272	K
b0273	E
b0274	L
b0275	
b0277	S
b0278	L
b0279	S
b1728	S
b2017	D
b4025	G
b4024	E
b0074	E
b0072	E
b0073	E
b0070	G
b0071	E
b4029	S
b4028	S
b0078	E
b4596	S
b0384	S
b0385	T
b0386	E
b0387	S
b0380	S
b0381	M
b0382	D,T
b0383	P
b0549	S
b0388	E
b0389	S
b1516	G
b3972	M
b3348	S
b0481	S
b0638	H
b1915	S
b1236	M
b0885	O
b0503	S
b0732	G
b3434	U
b1233	S
b0734	C
b1645	S
b0737	U
b0736	S
b3244	S
b0026	J
b3011	C
b3010	K
b2523	E
b3012	C
b3014	
b3017	D
b3019	L
b3018	I
b0635	M
b2774	S
b1512	K
b0637	S
b2913	E
b0546	K
b3729	M
b3728	P
b0547	L
b3723	K
b3722	G
b3721	G
b3720	G
b3235	O
b3234	O
b3237	K
b3236	C
b0013	S
b4043	K
b4042	M
b3477	P
b0016	L
b3476	E
b3092	G
b4040	H
b0461	S
b3129	K
b3128	G
b3659	G
b3125	I
b3124	G
b3127	G
b3126	G
b3653	E
b3652	L
b3651	J
b3650	K,T
b2838	E
b2839	K
b3347	O
b0462	V
b3341	J
b3340	J
b2528	S
b2529	C
b2526	F
b2527	O
b2524	S
b2525	C
b2290	E
b2291	F
b2836	I,Q
b2837	K
b0548	S
b2910	S
b0466	S
b4062	K
b2473	S
b2632	S
b2633	S
b2630	A
b2631	S
b2476	F
b2634	K
b1422	K
b1796	S
b3478	P
b1423	S
b2748	D
b2749	S
b0059	L
b2742	M
b2743	O
b2740	E,G
b2741	K
b2746	I
b2747	I
b2744	F
b2745	J
b3903	G
b3902	G
b3901	S
b3900	G
b3907	M
b3906	K
b3905	K
b3904	G
b2381	T
b3909	P
b3908	P
b1906	S
b3848	S
b1542	G
b2701	M
b1428	S
b2135	S
b3849	P
b3956	C
b1310	G
b4066	
b0492	O
b3047	O
b1138	S
b1139	D
b1982	F
b2137	S
b1130	T
b1131	F
b1132	S
b1133	J
b1134	L
b1135	J
b1136	C
b1137	S
b1710	O
b1711	H
b1712	
b1245	P
b2418	H
b1243	E
b1716	J
b1241	C
b1718	J
b1719	J
b0661	J
b0660	T
b1312	P
b4565	G
b1248	S
b1249	I
b2385	E
b2136	S
b3229	O
b4366	K
b4367	P
b4364	S
b4365	K
b4362	L
b4363	S
b4360	S
b4361	L
b1394	I
b1395	I
b1396	Q
b1397	I
b1390	Q
b1391	Q
b1392	C
b1393	I
b1313	E
b1398	Q
b1399	K
b1624	E
b1625	S
b1626	S
b1627	C
b1620	K
b1621	G
b1622	E
b1623	F
b0717	O
b0864	E
b0867	M
b0714	L
b0861	E
b0860	E
b0863	E
b0710	S
b2920	C
b3188	K
b1519	S
b0122	S
b4108	P
b4109	S
b1408	I
b1409	I
b0086	M
b1404	L
b4100	P
b4101	P
b1400	L
b4107	S
b0464	K
b1403	L
b2921	K
b4298	E
b4299	K
b4292	T
b4293	K
b4290	P
b4291	P
b4296	E,G
b4297	E
b4294	
b0947	C
b2882	F
b0289	S
b0288	S
b0285	F
b0284	C
b0287	S
b0286	C
b0281	L
b0280	S
b0283	O
b0043	C
b0042	C
b0041	C
b0040	P
b0047	P
b0046	S
b4030	S
b0044	C
b0049	F
b0048	H
b4038	
b4039	H
b4230	S
b4582	
b4581	S
b0915	M
b0446	M
b0445	S
b0444	S
b0443	S
b0910	F
b0441	O
b0440	L
b0919	S
b0918	M
b0449	V
b0448	V
b3257	S
b4485	P
b2790	C
b0308	S
b3239	K
b1219	P
b1260	E
b4330	S
b4332	G
b4234	S
b3002	L
b3003	S
b3001	C
b3006	U
b3005	U
b3008	E
b3009	S
b4339	
b2928	H
b3196	P
b4235	S
b2238	K
b4482	S
b0751	H
b3228	S
b0750	H
b3222	G
b3223	G
b3220	S
b3221	G
b3226	K
b3227	C
b3224	G
b3225	E
b2929	K
b3136	M
b2149	P
b4481	M
b3641	D
b4237	O
b3643	J
b1360	L
b3644	S
b3133	G
b3648	F
b3649	K
b2236	C
b3646	S
b3138	G
b3139	G
b3640	F
b3137	G
b3642	F
b3135	
b3132	G
b3645	S
b3130	S
b3131	K
