Stressor	Tag	Stressor Class	Root
COPPER	metal_ions	Metal Ions	Metals
COPPER_SENSITIVE	metal_ions	Metal Ions	Metals
GOLD	metal_ions	Platinum group	Metals
Iron	metal_ions	Metal Ions	Metals
MERCURY	metal_ions	Metal Ions	Metals
MERCURY_SENSITIVE	metal_ions	Metal Ions	Metals
METAL IONS	metal_ions	Metal Ions	Metals
NICKEL	metal_ions	Metal Ions	Metals
NICKEL_SENSITIVE	metal_ions	Metal Ions	Metals
POTASSIUM TELLURITE_SENSITIVE	metal_ions	Metal Ions	Metals
SILVER	metal_ions	Platinum group	Metals
SILVER_SENSITIVE	metal_ions	Platinum group	Metals
SODIUM IONS_SENSITIVE	metal_ions	Metal Ions	Metals
TELLURITE	metal_ions	Metal Ions	Metals
ZINC	metal_ions	Metal Ions	Metals
ZINC_SENSITIVE	metal_ions	Metal Ions	Metals
Nickel Chloride	metal_ions	Nickel	metal ions
ORGANIC MERCURY	metal_ions	organic mercury compound	metal_ions
ANTIMONY	metal_ions	Poisonous metal	antimicrobial metals
ARSENIC	metal_ions	Poisonous metal	antimicrobial metals
MMS	mutagens	Alkylating agent	Mutagenic compounds
PROPIDIUM IODIDE	mutagens	Frameshift mutagen	antibiotic
MITOMYCIN C	mutagens	Mitomycins	antibiotic
MITOMYCIN C_SENSITIVE	mutagens	Mitomycins	antibiotic
BROMOACETATE	mutagens	Alkylating agent	Mutagenic compounds
BROMOACETATE_SENSITIVE	mutagens	Alkylating agent	Mutagenic compounds
METHYL METHANESULFONATE_SENSITIVE	mutagens	Alkylating agent	Mutagenic compounds
9-Aminoacridine	mutagens	Frameshift mutagen	mutagens
ACRIFLAVINE	mutagens	Frameshift mutagen	Mutagenic compounds
ACRIFLAVINE_SENSITIVE	mutagens	Frameshift mutagen	Mutagenic compounds
ETHIDIUM BROMIDE	mutagens	Frameshift mutagen	Mutagenic compounds
ETHIDIUM BROMIDE_SENSITIVE	mutagens	Frameshift mutagen	Mutagenic compounds
PROFLAVINE	mutagens	Frameshift mutagen	Mutagenic compounds
Mutagens	mutagens	Mutagenic agents	General mutagens
6-HYDROXYLAMINOPURINE_SENSITIVE	mutagens	Nucleotide analog	Mutagenic compounds
AZIDOTHYMIDINE	mutagens	Nucleotide analog	Mutagenic compounds
AZIDOTHYMIDINE_SENSITIVE	mutagens	Nucleotide analog	Mutagenic compounds
AZT_SENSITIVE	mutagens	Nucleotide analog	Mutagenic compounds
HYDROXYUREA_SENSITIVE	mutagens	Nucleotide analog	Mutagenic compounds
S-NITROSOGLUTATHIONE	mutagens	Oxidative stressor	Mutagenic compounds
MAGNESIUM SULFATE LIMITATION	nutrient_limitation	Magnesium limitation	Growth limitation
Glucose LIMITATION	nutrient_limitation	Growth condition	Environmental condition
PHOSPHORUS LIMITATION	nutrient_limitation	Growth condition	Environmental condition
CITRATE	organic_acid (neutral)	carboxylic acid	Acids
CITRIC ACID	organic_acid (neutral)	carboxylic acid	Acids
CROTONATE	organic_acid (neutral)	carboxylic acid	Acids
Fumarate	organic_acid (neutral)	carboxylic acid	Acids
FUMARIC ACID	organic_acid (neutral)	carboxylic acid	Acids
MALATE	organic_acid (neutral)	carboxylic acid	Acids
MALIC ACID	organic_acid (neutral)	carboxylic acid	Acids
METHACRYLATE	organic_acid (neutral)	carboxylic acid	Acids
SODIUM-METHACRYLATE	organic_acid (neutral)	carboxylic acid	Acids
TARTRATE	organic_acid (neutral)	Dicarboxylic acid	Acids
3-HP	organic_acid (neutral)	Organic acid	Acids
ACETATE	organic_acid (neutral)	Organic acid	Acids
ACETATE_SENSITIVE	organic_acid (neutral)	Organic acid	Acids
ACETIC ACID	organic_acid (neutral)	Organic acid	Acids
ITACONATE	organic_acid (neutral)	Organic acid	Acids
ITACONIC ACID	organic_acid (neutral)	Organic acid	Acids
LACTATE	organic_acid (neutral)	Organic acid	Acids
LEVULINIC ACID	organic_acid (neutral)	Organic acid	Acids
SUCCINATE	organic_acid (neutral)	Organic acid	Acids
SUCCINIC ACID	organic_acid (neutral)	Organic acid	Acids
BUTYL ACETATE	organic_acid (neutral)	Short chain fatty acid	Fatty acids
ETHYLENE GLYCOL	osmotic_stress	Antifreeze	Osmotic strength increase
DEHYDRATION	osmotic_stress	Dehydration stress	Environmental condition
DESICCATION	osmotic_stress	Dehydration stress	Environmental condition
DESSICATION	osmotic_stress	Dehydration stress	Environmental condition
OSMOTIC	osmotic_stress	General osmotic stress	Environmental condition
OSMOTIC STRESS_SENSITIVE	osmotic_stress	General osmotic stress	Environmental condition
OSMOLYTIC AGENTS	osmotic_stress	Generic osmotic stress	Osmotic stress
CHLORATE	osmotic_stress	Ionic stress	Environmental condition
NACL	osmotic_stress	Ionic stress	Environmental condition
POTASSIUM ION	osmotic_stress	Ionic stress	Environmental condition
SODIUM CHLORIDE	osmotic_stress	Ionic stress	Environmental condition
SODIUM CHLORIDE_SENSITIVE	osmotic_stress	Ionic stress	Environmental condition
CESIUM CHLORIDE	osmotic_stress	Ionic stress	Salt
GLUCOSE	osmotic_stress	Ionic stress	Environmental condition
GLYCEROL	osmotic_stress	Ionic stress	Environmental condition
LITHIUM CHLORIDE	osmotic_stress	Ionic stress	Salt
HYPOOSMOTIC_SENSITIVE	osmotic_stress	Water stress	Environmental condition
SODIUM BROMATE	other	Halogen	halide compound
GLUCURONAMIDE	other	6-carbon acid	Unknown molecules
HYDROXYLAMINE	other	Amine compound	Amine
Trifluoperazine	other	antidepressant	other drug
KETOPROFEN	other	Anti-inflammatory	Drug
NITRITE_SENSITIVE	other	Antimicrobial preservative	Preservative
Orphenadrine	other	antiparkinson's	other drug
Amitriptyline	other	antipsychotic	other drug
Chlorpromazine	other	antipsychotic	other drug
Thioridazine	other	antipsychotic	other drug
INDOLE	other	Bacterial hormone	quorom sensing
INDOLEACETIC ACID	other	Bacterial hormone	quorom sensing
BROMOSUCCINATE	other	Bromine-substituted dicarboxylic acid	organic synthesis
CAFFEINE	other	caffeine	phenolic acid
2_2'-DIPYRIDYL	other	chemical building block	organic synthesis
PUTRESCINE	other	Diamine	General diamine
BETA-METHYL-D-GLUCURONATE	other	Drug precursor	Drug
IODONITROTETRAZOLIUM VIOLET	other	Dye	Stains
RUTHENIUM RED	other	Dye	Stains
RADISH SPROUTS	other	Growth condition	epiphytic growth
ROMAINE_LETTUCE	other	Growth condition	epiphytic growth
SPINACH	other	Growth condition	epiphytic growth
ROMAINE_LETTUCE_LYSATE	other	Growth inhibitor	plant lysate growth
IODOACETATE	other	halogen	halide compound
URINARY_TRACT_ENVIRONMENT	other	Infection	mammalian growth
URINARY_TRACT_INFECTION	other	Infection	mammalian growth
BUTYROLACTONE	other	Lactone	Chemical
CALCOFLUOR 	other	Organic dyes	Dyes
18-CROWN-6 ETHER	other	phase transfer catalyst	organic synthesis
TETRAPHENYLPHOSPHONIUM ION	other	phase transfer catalyst	organic synthesis
GALLIC ACID	other	Phenolic acid	Plant-derived compounds
MYRICETIN	other	Phenolic acid	Plant-derived compounds
METHYLENE DIPHOSPHONATE	other	Tc Binding Agent	Metal binding agent
Pridinol	other	tranquilizer	other drug
CCCP_SENSITIVE	oxidative	Electron transport chain uncoupling agent	Environmental condition
FCCP	oxidative	Electron transport chain uncoupling agent	Environmental condition
METHYL VIOGEN_SENSITIVE	oxidative	Electron transport chain uncoupling agent	Environmental condition
METHYL VIOLOGEN_SENSITIVE	oxidative	Electron transport chain uncoupling agent	Environmental condition
METHYLVIOLOGEN	oxidative	Electron transport chain uncoupling agent	Environmental condition
PARAQUAT_SENSITIVE	oxidative	Electron transport chain uncoupling agent	Environmental condition
PHENAZINE METHOSULFATE	oxidative	Electron transport chain uncoupling agent	Environmental condition
PHENAZINE METHOSULFATE_SENSITIVE	oxidative	Electron transport chain uncoupling agent	Environmental condition
RESPIRATION AnTAGONISTS	oxidative	Electron transport chain uncoupling agent	Environmental condition
CRYSTAL VIOLET	oxidative	General oxidative stress	Environmental condition
OXIDATIVE	oxidative	General oxidative stress	Environmental condition
OXIDATIVE STRESS	oxidative	General oxidative stress	Environmental condition
OXIDATIVE_SENSITIVE	oxidative	General oxidative stress	Environmental condition
BLEACH	oxidative	Hypochlorite generator	Environmental condition
BLEACH_SENSITIVE	oxidative	Hypochlorite generator	Environmental condition
HOCL	oxidative	Hypochlorite generator	Environmental condition
NITRIC OXIDE_SENSITIVE	oxidative	Nitrate-based oxidative stress	Environmental condition
SELENOLIPOIC ACID	oxidative	Nitrate-based oxidative stress	Environmental condition
CUMENE HYDROPEROXIDE_SENSITIVE	oxidative	Peroxide stress	Environmental condition
H2O2	oxidative	Peroxide stress	Environmental condition
H2O2_SENSITIVE	oxidative	Peroxide stress	Environmental condition
HYDROGEN PEROXIDE	oxidative	Peroxide stress	Environmental condition
PEROXIDE	oxidative	Peroxide stress	Environmental condition
T-BUTYL HYDROPEROXIDE	oxidative	Peroxide stress	Environmental condition
T-BUTYL HYDROPEROXIDE_SENSITIVE	oxidative	Peroxide stress	Environmental condition
CARBON MONOXIDE	oxidative	Poisonous gas	respiration inhibitor
CO	oxidative	Poisonous gas	respiration inhibitor
GLUTATHIONE	oxidative	Redox compound	protective metabolite
SUPEROXIDE	oxidative	Superoxide stress	Environmental condition
IONIZING RADIATION	radiation	General ionizing radiation	Environmental condition
IONIZING RADIATION_SENSITIVE	radiation	General ionizing radiation	Environmental condition
RADIATION	radiation	General ionizing radiation	Environmental condition
UV	radiation	Lower energy ionizing radiation	Environmental condition
UV RADIATION	radiation	Lower energy ionizing radiation	Environmental condition
UV RADIATION_SENSITIVE	radiation	Lower energy ionizing radiation	Environmental condition
UV_SENSITIVE	radiation	Lower energy ionizing radiation	Environmental condition
GAMMA RAYS	radiation	Very high energy ionizing radiation	Environmental condition
1-HEXENE	solvents_biofuels	Alpha-Olefin	Hydrocarbons
DECANOIC ACID	solvents_biofuels	Fatty Acids	Chemical
MEDIUM CHAIN FATTY ACIDS	solvents_biofuels	Fatty acids	medium length fatty acids
CYCLOHEXANE	solvents_biofuels	Hexanes	Solvents
N-HEXANE	solvents_biofuels	Hexanes	Solvents
TOLUENE	solvents_biofuels	Hexanes	Solvents
2-BUTANOL	solvents_biofuels	Higher Alcohols	Solvents
BUTANEDIOL	solvents_biofuels	Higher Alcohols	Chemical
BUTANOL	solvents_biofuels	Higher Alcohols	Solvents
I-BUTANOL	solvents_biofuels	Higher Alcohols	Solvents
ISOBUTANOL	solvents_biofuels	Higher Alcohols	Solvents
N-BUTANOL	solvents_biofuels	Higher Alcohols	Solvents
ISOOCTANE_SENSITIVE	solvents_biofuels	Hydrocarbons	Solvents
OCTANE	solvents_biofuels	Hydrocarbons	Solvents
XYLENE	solvents_biofuels	Industrial solvent	xylenes
IONIC LIQUIDS	solvents_biofuels	Ionic Liquids	Chemical
1-2-4-BUTANETRIOL	solvents_biofuels	Polymer component	Solvents
1-NAPHTHOL	solvents_biofuels	Polymer component	Solvents
3_4-DIMETHOXYBENZYL ALCOHOL	solvents_biofuels	secondary metabolite	lignin breakdown product
ETHANOL	solvents_biofuels	Short alcohols	Solvents
ETHANOL_SENSITIVE	solvents_biofuels	Short alcohols	Solvents
PROPIONATE_SENSITIVE	solvents_biofuels	Short chain fatty acid	Solvents
ALPHA-PINENE	solvents_biofuels	Terpene	Solvents
CAMPHOR	solvents_biofuels	Terpene	Solvents
GERANIOL_SENSITIVE	solvents_biofuels	Terpene	Solvents
ISOPENTENOL	solvents_biofuels	Terpene	Solvents
LIMONENE	solvents_biofuels	Terpene	Solvents
